name,slug,value,date_of_information,ranking,region
"Antigua and Barbuda","antigua-and-barbuda","729,000.0","2019 est.","182","Central America and the Caribbean"
"Burundi","burundi","715,000.0","2019 est.","183","Africa"
"Saint Lucia","saint-lucia","659,000.0","2019 est.","184","Central America and the Caribbean"
"Djibouti","djibouti","610,000.0","2019 est.","185","Africa"
"Gambia, The","gambia-the","606,000.0","2019 est.","186","Africa"
"Greenland","greenland","605,000.0","2019 est.","187","North America"
"Belize","belize","541,000.0","2019 est.","188","Central America and the Caribbean"
"Timor-Leste","timor-leste","538,000.0","2019 est.","189","East and Southeast Asia"
"Jersey","jersey","450,000.0","2012 est.","190","Europe"
"American Samoa","american-samoa","355,000.0","2019 est.","191","Australia and Oceania"
"Samoa","samoa","355,000.0","2019 est.","192","Australia and Oceania"
"Guinea-Bissau","guinea-bissau","342,000.0","2019 est.","193","Africa"
"Solomon Islands","solomon-islands","333,000.0","2019 est.","194","Australia and Oceania"
"Comoros","comoros","326,000.0","2019 est.","195","Africa"
"Grenada","grenada","316,000.0","2019 est.","196","Central America and the Caribbean"
"Marshall Islands","marshall-islands","293,700.0","2017 est.","197","Australia and Oceania"
"Central African Republic","central-african-republic","285,000.0","2019 est.","198","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","268,000.0","2019 est.","199","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","245,000.0","2019 est.","200","Central America and the Caribbean"
"Vanuatu","vanuatu","225,000.0","2019 est.","201","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","202,000.0","2019 est.","202","Central America and the Caribbean"
"Dominica","dominica","182,000.0","2019 est.","203","Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","177,000.0","2019 est.","204","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","173,000.0","2019 est.","205","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","173,000.0","2019 est.","206","Africa"
"Tonga","tonga","171,000.0","2019 est.","207","Australia and Oceania"
"Cook Islands","cook-islands","114,000.0","2019 est.","208","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","84,000.0","2019 est.","209","North America"
"Kiribati","kiribati","76,000.0","2019 est.","210","Australia and Oceania"
"Nauru","nauru","66,000.0","2019 est.","211","Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","46,000.0","2019 est.","212","South America"
"Montserrat","montserrat","33,000.0","2019 est.","213","Central America and the Caribbean"
"Antarctica","antarctica","28,000.0","2019 est.","214","Antarctica"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","13,000.0","2019 est.","215","Africa"
"Niue","niue","8,000.0","2019 est.","216","Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","0.0","2019 est.","217","Australia and Oceania"
"Tuvalu","tuvalu","0.0","2019 est.","218","Australia and Oceania"
